July 6, 2026   18:32:49
Cyclic Voltammetry
File: cv2
Data Source:  Experiment
Instrument Model:  CHI760F
Header: 
Note: 

Init E (V) = 0
High E (V) = 0.7
Low E (V) = 0
Init P/N = P
Scan Rate (V/s) = 0.1
Segment = 2
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.1

Results:

Channel 1:
Segment 1:
Ep = 0.315V
ip = 2.047e-6A
Ah = 1.181e-6C

Segment 2:

Potential/V	Current/A
0.293	2.175e-6
0.294	2.275e-6
0.295	2.574e-6
0.296	2.475e-6
0.297	2.375e-6
0.298	2.674e-6
0.299	3.274e-6
0.300	3.074e-6
0.301	2.974e-6
0.302	2.774e-6
0.303	2.574e-6
0.304	2.974e-6
0.305	2.175e-6
0.306	2.974e-6
0.307	1.975e-6
0.308	3.074e-6
0.309	2.574e-6
0.310	3.574e-6
0.311	3.674e-6
0.312	3.774e-6
0.313	2.574e-6
0.314	3.374e-6
0.315	3.974e-6
0.316	3.774e-6
0.317	3.474e-6
0.318	3.174e-6
0.319	3.174e-6
0.320	3.274e-6
0.321	3.774e-6
0.322	3.774e-6
0.323	3.274e-6
0.324	3.274e-6
0.325	3.574e-6
0.326	3.574e-6
0.327	2.974e-6
0.328	3.974e-6
0.329	2.874e-6
0.330	2.674e-6
0.331	2.574e-6
0.332	3.074e-6
0.333	2.574e-6
0.334	2.674e-6
0.335	2.974e-6
0.336	2.275e-6
0.337	2.275e-6
0.338	2.375e-6
0.339	3.074e-6
0.340	3.174e-6
0.341	3.374e-6
0.342	3.174e-6
0.343	3.174e-6
0.344	2.075e-6
0.345	2.674e-6
0.346	2.275e-6
0.347	2.375e-6
0.348	2.175e-6
0.349	2.974e-6
0.350	2.574e-6
0.351	3.074e-6
0.352	2.674e-6
0.353	2.475e-6
0.354	3.174e-6
0.355	2.475e-6
0.356	2.175e-6
0.357	2.774e-6
0.358	2.874e-6
0.359	2.475e-6
0.360	2.674e-6
0.361	2.674e-6
0.362	3.674e-6
0.363	3.474e-6
0.364	3.374e-6
0.365	2.674e-6
0.366	3.274e-6
0.367	2.874e-6
0.368	2.275e-6
0.369	2.974e-6
0.370	3.874e-6
0.371	2.874e-6
0.372	2.275e-6
0.373	2.574e-6
0.374	2.674e-6
0.375	2.574e-6
0.376	3.174e-6
0.377	3.574e-6
0.378	2.375e-6
0.379	3.874e-6
0.380	3.974e-6
0.381	4.074e-6
0.382	4.474e-6
0.383	4.374e-6
0.384	4.174e-6
0.385	3.274e-6
0.386	3.574e-6
0.387	3.274e-6
0.388	3.274e-6
0.389	3.374e-6
0.390	3.374e-6
0.391	3.774e-6
0.392	3.374e-6
0.393	4.074e-6
0.394	3.974e-6
0.395	4.074e-6
0.396	4.374e-6
0.397	4.074e-6
0.398	4.174e-6
0.399	3.974e-6
0.400	4.474e-6
0.401	5.074e-6
0.402	4.774e-6
0.403	4.974e-6
0.404	4.874e-6
0.405	4.374e-6
0.406	4.774e-6
0.407	4.674e-6
0.408	4.274e-6
0.409	4.274e-6
0.410	4.274e-6
0.411	4.274e-6
0.412	4.674e-6
0.413	4.974e-6
0.414	5.574e-6
0.415	5.574e-6
0.416	5.374e-6
0.417	5.374e-6
0.418	6.274e-6
0.419	6.374e-6
0.420	5.974e-6
0.421	6.874e-6
0.422	7.174e-6
0.423	6.674e-6
0.424	5.974e-6
0.425	6.574e-6
0.426	6.274e-6
0.427	6.774e-6
0.428	7.673e-6
0.429	7.074e-6
0.430	7.374e-6
0.431	7.773e-6
0.432	8.273e-6
0.433	8.973e-6
0.434	8.073e-6
0.435	8.773e-6
0.436	9.673e-6
0.437	9.873e-6
0.438	9.673e-6
0.439	9.773e-6
0.440	1.037e-5
0.441	1.117e-5
0.442	1.117e-5
0.443	9.873e-6
0.444	1.097e-5
0.445	1.077e-5
0.446	1.107e-5
0.447	1.127e-5
0.448	1.087e-5
0.449	1.037e-5
0.450	1.117e-5
0.451	1.197e-5
0.452	1.077e-5
0.453	1.147e-5
0.454	1.237e-5
0.455	1.407e-5
0.456	1.387e-5
0.457	1.377e-5
0.458	1.447e-5
0.459	1.527e-5
0.460	1.557e-5
0.461	1.567e-5
0.462	1.657e-5
0.463	1.747e-5
0.464	1.697e-5
0.465	1.747e-5
0.466	1.727e-5
0.467	1.747e-5
0.468	1.837e-5
0.469	1.887e-5
0.470	1.847e-5
0.471	1.947e-5
0.472	2.027e-5
0.473	2.067e-5
0.474	2.007e-5
0.475	2.157e-5
0.476	2.117e-5
0.477	2.187e-5
0.478	2.197e-5
0.479	2.237e-5
0.480	2.267e-5
0.481	2.407e-5
0.482	2.427e-5
0.483	2.477e-5
0.484	2.547e-5
0.485	2.587e-5
0.486	2.677e-5
0.487	2.737e-5
0.488	2.767e-5
0.489	2.747e-5
0.490	2.917e-5
0.491	2.937e-5
0.492	2.967e-5
0.493	3.027e-5
0.494	3.117e-5
0.495	3.147e-5
0.496	3.187e-5
0.497	3.357e-5
0.498	3.467e-5
0.499	3.607e-5
0.500	3.627e-5
0.501	3.667e-5
0.502	3.687e-5
0.503	3.787e-5
0.504	3.847e-5
0.505	3.987e-5
0.506	4.067e-5
0.507	4.067e-5
0.508	4.217e-5
0.509	4.377e-5
0.510	4.517e-5
0.511	4.617e-5
0.512	4.737e-5
0.513	4.827e-5
0.514	4.847e-5
0.515	5.007e-5
0.516	5.116e-5
0.517	5.346e-5
0.518	5.446e-5
0.519	5.746e-5
0.520	5.986e-5
0.521	6.206e-5
0.522	6.266e-5
0.523	6.506e-5
0.524	6.776e-5
0.525	6.976e-5
0.526	7.176e-5
0.527	7.296e-5
0.528	7.466e-5
0.529	7.696e-5
0.530	7.956e-5
0.531	8.086e-5
0.532	8.216e-5
0.533	8.386e-5
0.534	8.516e-5
0.535	8.746e-5
0.536	8.786e-5
0.537	8.886e-5
0.538	8.996e-5
0.539	8.896e-5
0.540	9.016e-5
0.541	9.006e-5
0.542	8.996e-5
0.543	8.936e-5
0.544	8.976e-5
0.545	8.896e-5
0.546	8.836e-5
0.547	8.806e-5
0.548	8.676e-5
0.549	8.566e-5
0.550	8.616e-5
0.551	8.466e-5
0.552	8.426e-5
0.553	8.406e-5
0.554	8.206e-5
0.555	8.106e-5
0.556	8.066e-5
0.557	7.936e-5
0.558	7.826e-5
0.559	7.776e-5
0.560	7.616e-5
0.561	7.596e-5
0.562	7.506e-5
0.563	7.416e-5
0.564	7.346e-5
0.565	7.266e-5
0.566	7.236e-5
0.567	7.076e-5
0.568	7.036e-5
0.569	6.956e-5
0.570	6.936e-5
0.571	6.796e-5
0.572	6.716e-5
0.573	6.706e-5
0.574	6.596e-5
0.575	6.596e-5
0.576	6.556e-5
0.577	6.506e-5
0.578	6.486e-5
0.579	6.486e-5
0.580	6.326e-5
0.581	6.296e-5
0.582	6.306e-5
0.583	6.286e-5
0.584	6.166e-5
0.585	6.096e-5
0.586	6.006e-5
0.587	6.036e-5
0.588	5.986e-5
0.589	5.966e-5
0.590	5.916e-5
0.591	5.876e-5
0.592	5.796e-5
0.593	5.716e-5
0.594	5.766e-5
0.595	5.716e-5
0.596	5.676e-5
0.597	5.636e-5
0.598	5.626e-5
0.599	5.616e-5
0.600	5.506e-5
0.601	5.486e-5
0.602	5.426e-5
0.603	5.366e-5
0.604	5.366e-5
0.605	5.406e-5
0.606	5.476e-5
0.607	5.416e-5
0.608	5.296e-5
0.609	5.266e-5
0.610	5.326e-5
0.611	5.236e-5
0.612	5.256e-5
0.613	5.196e-5
0.614	5.146e-5
0.615	5.086e-5
0.616	5.007e-5
0.617	5.047e-5
0.618	4.977e-5
0.619	5.136e-5
0.620	4.987e-5
0.621	4.987e-5
0.622	4.977e-5
0.623	5.047e-5
0.624	4.987e-5
0.625	5.007e-5
0.626	5.027e-5
0.627	5.076e-5
0.628	5.136e-5
0.629	5.027e-5
0.630	4.997e-5
0.631	5.066e-5
0.632	5.027e-5
0.633	5.106e-5
0.634	5.166e-5
0.635	5.126e-5
0.636	5.166e-5
0.637	5.206e-5
0.638	5.236e-5
0.639	5.226e-5
0.640	5.236e-5
0.641	5.306e-5
0.642	5.346e-5
0.643	5.366e-5
0.644	5.456e-5
0.645	5.526e-5
0.646	5.596e-5
0.647	5.636e-5
0.648	5.686e-5
0.649	5.746e-5
0.650	5.806e-5
0.651	5.906e-5
0.652	6.106e-5
0.653	6.226e-5
0.654	6.226e-5
0.655	6.296e-5
0.656	6.516e-5
0.657	6.676e-5
0.658	6.756e-5
0.659	6.876e-5
0.660	7.016e-5
0.661	7.146e-5
0.662	7.346e-5
0.663	7.506e-5
0.664	7.696e-5
0.665	7.816e-5
0.666	8.106e-5
0.667	8.126e-5
0.668	8.436e-5
0.669	8.626e-5
0.670	8.946e-5
0.671	9.016e-5
0.672	9.396e-5
0.673	9.626e-5
0.674	9.936e-5
0.675	1.027e-4
0.676	1.057e-4
0.677	1.088e-4
0.678	1.126e-4
0.679	1.158e-4
0.680	1.199e-4
0.681	1.235e-4
0.682	1.282e-4
0.683	1.315e-4
0.684	1.368e-4
0.685	1.411e-4
0.686	1.450e-4
0.687	1.492e-4
0.688	1.551e-4
0.689	1.612e-4
0.690	1.674e-4
0.691	1.744e-4
0.692	1.798e-4
0.693	1.855e-4
0.694	1.926e-4
0.695	2.000e-4
0.696	2.066e-4
0.697	2.154e-4
0.698	2.225e-4
0.699	2.314e-4
0.700	2.196e-4
0.699	1.948e-4
0.698	1.811e-4
0.697	1.711e-4
0.696	1.615e-4
0.695	1.532e-4
0.694	1.441e-4
0.693	1.368e-4
0.692	1.292e-4
0.691	1.223e-4
0.690	1.145e-4
0.689	1.076e-4
0.688	1.009e-4
0.687	9.446e-5
0.686	8.886e-5
0.685	8.436e-5
0.684	7.856e-5
0.683	7.316e-5
0.682	6.816e-5
0.681	6.236e-5
0.680	5.956e-5
0.679	5.586e-5
0.678	5.086e-5
0.677	4.687e-5
0.676	4.337e-5
0.675	4.007e-5
0.674	3.577e-5
0.673	3.257e-5
0.672	2.927e-5
0.671	2.707e-5
0.670	2.367e-5
0.669	2.147e-5
0.668	1.877e-5
0.667	1.707e-5
0.666	1.437e-5
0.665	1.167e-5
0.664	9.173e-6
0.663	6.774e-6
0.662	4.074e-6
0.661	2.375e-6
0.660	7.748e-7
0.659	-1.125e-6
0.658	-2.325e-6
0.657	-3.924e-6
0.656	-5.624e-6
0.655	-7.524e-6
0.654	-8.023e-6
0.653	-9.323e-6
0.652	-1.092e-5
0.651	-1.212e-5
0.650	-1.362e-5
0.649	-1.532e-5
0.648	-1.632e-5
0.647	-1.782e-5
0.646	-1.872e-5
0.645	-1.952e-5
0.644	-2.012e-5
0.643	-2.112e-5
0.642	-2.232e-5
0.641	-2.302e-5
0.640	-2.422e-5
0.639	-2.492e-5
0.638	-2.572e-5
0.637	-2.672e-5
0.636	-2.632e-5
0.635	-2.672e-5
0.634	-2.722e-5
0.633	-2.832e-5
0.632	-2.922e-5
0.631	-2.972e-5
0.630	-3.092e-5
0.629	-3.152e-5
0.628	-3.232e-5
0.627	-3.262e-5
0.626	-3.292e-5
0.625	-3.292e-5
0.624	-3.332e-5
0.623	-3.392e-5
0.622	-3.432e-5
0.621	-3.462e-5
0.620	-3.572e-5
0.619	-3.522e-5
0.618	-3.572e-5
0.617	-3.622e-5
0.616	-3.712e-5
0.615	-3.712e-5
0.614	-3.752e-5
0.613	-3.872e-5
0.612	-3.842e-5
0.611	-3.812e-5
0.610	-3.872e-5
0.609	-3.892e-5
0.608	-3.912e-5
0.607	-4.052e-5
0.606	-4.032e-5
0.605	-4.132e-5
0.604	-4.272e-5
0.603	-4.212e-5
0.602	-4.212e-5
0.601	-4.272e-5
0.600	-4.222e-5
0.599	-4.312e-5
0.598	-4.322e-5
0.597	-4.342e-5
0.596	-4.442e-5
0.595	-4.442e-5
0.594	-4.402e-5
0.593	-4.542e-5
0.592	-4.422e-5
0.591	-4.472e-5
0.590	-4.532e-5
0.589	-4.522e-5
0.588	-4.512e-5
0.587	-4.532e-5
0.586	-4.612e-5
0.585	-4.632e-5
0.584	-4.712e-5
0.583	-4.742e-5
0.582	-4.722e-5
0.581	-4.842e-5
0.580	-4.792e-5
0.579	-4.852e-5
0.578	-4.862e-5
0.577	-4.862e-5
0.576	-4.922e-5
0.575	-4.922e-5
0.574	-4.832e-5
0.573	-4.872e-5
0.572	-4.882e-5
0.571	-4.952e-5
0.570	-5.042e-5
0.569	-5.071e-5
0.568	-5.022e-5
0.567	-5.091e-5
0.566	-5.081e-5
0.565	-5.151e-5
0.564	-5.121e-5
0.563	-5.211e-5
0.562	-5.231e-5
0.561	-5.231e-5
0.560	-5.221e-5
0.559	-5.361e-5
0.558	-5.371e-5
0.557	-5.371e-5
0.556	-5.461e-5
0.555	-5.461e-5
0.554	-5.491e-5
0.553	-5.591e-5
0.552	-5.581e-5
0.551	-5.621e-5
0.550	-5.671e-5
0.549	-5.741e-5
0.548	-5.731e-5
0.547	-5.831e-5
0.546	-5.821e-5
0.545	-5.901e-5
0.544	-6.011e-5
0.543	-6.021e-5
0.542	-6.161e-5
0.541	-6.291e-5
0.540	-6.341e-5
0.539	-6.341e-5
0.538	-6.341e-5
0.537	-6.351e-5
0.536	-6.451e-5
0.535	-6.461e-5
0.534	-6.491e-5
0.533	-6.481e-5
0.532	-6.621e-5
0.531	-6.711e-5
0.530	-6.701e-5
0.529	-6.871e-5
0.528	-6.831e-5
0.527	-6.951e-5
0.526	-6.911e-5
0.525	-6.991e-5
0.524	-7.051e-5
0.523	-7.011e-5
0.522	-7.101e-5
0.521	-7.211e-5
0.520	-7.211e-5
0.519	-7.271e-5
0.518	-7.281e-5
0.517	-7.291e-5
0.516	-7.311e-5
0.515	-7.361e-5
0.514	-7.301e-5
0.513	-7.351e-5
0.512	-7.431e-5
0.511	-7.421e-5
0.510	-7.351e-5
0.509	-7.171e-5
0.508	-7.291e-5
0.507	-7.291e-5
0.506	-7.191e-5
0.505	-7.241e-5
0.504	-7.241e-5
0.503	-7.291e-5
0.502	-7.151e-5
0.501	-7.021e-5
0.500	-6.991e-5
0.499	-6.911e-5
0.498	-6.911e-5
0.497	-6.841e-5
0.496	-6.771e-5
0.495	-6.851e-5
0.494	-6.751e-5
0.493	-6.711e-5
0.492	-6.511e-5
0.491	-6.541e-5
0.490	-6.531e-5
0.489	-6.471e-5
0.488	-6.351e-5
0.487	-6.381e-5
0.486	-6.291e-5
0.485	-6.261e-5
0.484	-6.271e-5
0.483	-6.171e-5
0.482	-6.081e-5
0.481	-6.001e-5
0.480	-5.961e-5
0.479	-5.971e-5
0.478	-5.801e-5
0.477	-5.771e-5
0.476	-5.791e-5
0.475	-5.741e-5
0.474	-5.651e-5
0.473	-5.661e-5
0.472	-5.561e-5
0.471	-5.601e-5
0.470	-5.471e-5
0.469	-5.351e-5
0.468	-5.381e-5
0.467	-5.301e-5
0.466	-5.291e-5
0.465	-5.251e-5
0.464	-5.241e-5
0.463	-5.161e-5
0.462	-5.091e-5
0.461	-5.042e-5
0.460	-5.141e-5
0.459	-5.062e-5
0.458	-5.032e-5
0.457	-4.992e-5
0.456	-4.872e-5
0.455	-4.912e-5
0.454	-4.982e-5
0.453	-4.912e-5
0.452	-4.872e-5
0.451	-4.872e-5
0.450	-4.852e-5
0.449	-4.742e-5
0.448	-4.692e-5
0.447	-4.662e-5
0.446	-4.582e-5
0.445	-4.602e-5
0.444	-4.572e-5
0.443	-4.502e-5
0.442	-4.532e-5
0.441	-4.622e-5
0.440	-4.592e-5
0.439	-4.582e-5
0.438	-4.572e-5
0.437	-4.592e-5
0.436	-4.522e-5
0.435	-4.572e-5
0.434	-4.482e-5
0.433	-4.462e-5
0.432	-4.462e-5
0.431	-4.502e-5
0.430	-4.492e-5
0.429	-4.432e-5
0.428	-4.412e-5
0.427	-4.402e-5
0.426	-4.412e-5
0.425	-4.452e-5
0.424	-4.512e-5
0.423	-4.332e-5
0.422	-4.372e-5
0.421	-4.442e-5
0.420	-4.512e-5
0.419	-4.492e-5
0.418	-4.462e-5
0.417	-4.412e-5
0.416	-4.342e-5
0.415	-4.382e-5
0.414	-4.402e-5
0.413	-4.392e-5
0.412	-4.352e-5
0.411	-4.292e-5
0.410	-4.312e-5
0.409	-4.252e-5
0.408	-4.272e-5
0.407	-4.352e-5
0.406	-4.252e-5
0.405	-4.192e-5
0.404	-4.222e-5
0.403	-4.142e-5
0.402	-4.212e-5
0.401	-4.152e-5
0.400	-4.162e-5
0.399	-4.172e-5
0.398	-4.172e-5
0.397	-4.082e-5
0.396	-4.092e-5
0.395	-4.092e-5
0.394	-4.182e-5
0.393	-4.042e-5
0.392	-4.082e-5
0.391	-3.962e-5
0.390	-3.932e-5
0.389	-4.022e-5
0.388	-4.012e-5
0.387	-3.882e-5
0.386	-3.852e-5
0.385	-3.852e-5
0.384	-3.822e-5
0.383	-3.822e-5
0.382	-3.832e-5
0.381	-3.772e-5
0.380	-3.742e-5
0.379	-3.772e-5
0.378	-3.652e-5
0.377	-3.532e-5
0.376	-3.622e-5
0.375	-3.602e-5
0.374	-3.612e-5
0.373	-3.552e-5
0.372	-3.522e-5
0.371	-3.492e-5
0.370	-3.482e-5
0.369	-3.482e-5
0.368	-3.512e-5
0.367	-3.462e-5
0.366	-3.482e-5
0.365	-3.422e-5
0.364	-3.472e-5
0.363	-3.382e-5
0.362	-3.412e-5
0.361	-3.362e-5
0.360	-3.342e-5
0.359	-3.292e-5
0.358	-3.282e-5
0.357	-3.332e-5
0.356	-3.332e-5
0.355	-3.372e-5
0.354	-3.392e-5
0.353	-3.302e-5
0.352	-3.212e-5
0.351	-3.172e-5
0.350	-3.262e-5
0.349	-3.312e-5
0.348	-3.262e-5
0.347	-3.292e-5
0.346	-3.262e-5
0.345	-3.172e-5
0.344	-3.192e-5
0.343	-3.132e-5
0.342	-3.122e-5
0.341	-3.132e-5
0.340	-3.062e-5
0.339	-3.042e-5
0.338	-3.172e-5
0.337	-3.082e-5
0.336	-3.132e-5
0.335	-3.132e-5
0.334	-3.112e-5
0.333	-3.102e-5
0.332	-3.072e-5
0.331	-3.112e-5
0.330	-3.062e-5
0.329	-3.022e-5
0.328	-3.072e-5
0.327	-2.922e-5
0.326	-2.942e-5
0.325	-2.872e-5
0.324	-2.892e-5
0.323	-2.862e-5
0.322	-2.832e-5
0.321	-2.812e-5
0.320	-2.872e-5
0.319	-2.912e-5
0.318	-2.932e-5
0.317	-2.942e-5
0.316	-2.862e-5
0.315	-2.882e-5
0.314	-2.902e-5
0.313	-2.822e-5
0.312	-2.772e-5
0.311	-2.862e-5
0.310	-2.822e-5
0.309	-2.832e-5
0.308	-2.792e-5
0.307	-2.772e-5
0.306	-2.792e-5
0.305	-2.802e-5
0.304	-2.872e-5
0.303	-2.802e-5
0.302	-2.812e-5
0.301	-2.722e-5
0.300	-2.812e-5
0.299	-2.852e-5
0.298	-2.782e-5
0.297	-2.852e-5
0.296	-2.862e-5
0.295	-2.792e-5
0.294	-2.822e-5
0.293	-2.842e-5
0.292	-2.852e-5
0.291	-2.782e-5
0.290	-2.732e-5
0.289	-2.782e-5
0.288	-2.772e-5
0.287	-2.752e-5
0.286	-2.722e-5
0.285	-2.712e-5
0.284	-2.792e-5
0.283	-2.742e-5
0.282	-2.722e-5
0.281	-2.692e-5
0.280	-2.752e-5
0.279	-2.832e-5
0.278	-2.852e-5
0.277	-2.872e-5
0.276	-2.862e-5
0.275	-2.762e-5
0.274	-2.832e-5
0.273	-2.872e-5
0.272	-2.862e-5
0.271	-2.852e-5
0.270	-2.882e-5
0.269	-2.892e-5
0.268	-2.852e-5
0.267	-2.812e-5
0.266	-2.772e-5
0.265	-2.802e-5
0.264	-2.732e-5
0.263	-2.702e-5
0.262	-2.592e-5
0.261	-2.672e-5
0.260	-2.632e-5
0.259	-2.622e-5
0.258	-2.552e-5
0.257	-2.662e-5
0.256	-2.662e-5
0.255	-2.662e-5
0.254	-2.672e-5
0.253	-2.682e-5
0.252	-2.662e-5
0.251	-2.622e-5
0.250	-2.642e-5
0.249	-2.682e-5
0.248	-2.732e-5
0.247	-2.682e-5
0.246	-2.692e-5
0.245	-2.582e-5
0.244	-2.672e-5
0.243	-2.602e-5
0.242	-2.652e-5
0.241	-2.682e-5
0.240	-2.592e-5
0.239	-2.682e-5
0.238	-2.592e-5
0.237	-2.672e-5
0.236	-2.732e-5
0.235	-2.662e-5
0.234	-2.692e-5
